SKU,Assigned_Slot,rack,bay,level,priority_score,total_demand,volatility,order_frequency,distance_to_dispatch,x_coord,y_coord
M2N3G1004,R11-B22-L05,11,22,5,0.17949182440726397,64,2.660248687044705,13,17.5,25.0,25.0
M16280269,R17-B17-L04,17,17,4,0.17943131996250583,36,2.6832815729997477,5,12.5,40.0,20.0
M16280240,R17-B17-L02,17,17,2,0.17943131996250583,36,2.6832815729997477,5,12.5,40.0,20.0
M16280095,R15-B17-L01,15,17,1,0.17943131996250583,36,2.6832815729997477,5,12.5,35.0,20.0
M16280402,R11-B23-L03,11,23,3,0.17943131996250583,36,2.6832815729997477,5,16.5,25.0,26.0
M2N3G8815,R10-B24-L02,10,24,2,0.1792215994151352,12,0.8944271909999159,5,16.5,24.0,27.0
M2N4R7106,R17-B17-L03,17,17,3,0.1792215994151352,12,0.8944271909999159,5,12.5,40.0,20.0
M2N3G3005,R21-B22-L06,21,22,6,0.1790893263474505,506,14.435647578895358,42,17.5,50.0,25.0
M16280423,R15-B15-L02,15,15,2,0.17888705855878514,60,3.3380918415851215,8,14.5,35.0,18.0
M2N3SG068,R14-B16-L05,14,16,5,0.17841612559427966,208,6.729041536504289,26,14.5,34.0,19.0
M16280194,R18-B19-L02,18,19,2,0.17809042239067138,106,4.283967898150142,15,14.5,44.0,22.0
M2N3G9620,R15-B15-L05,15,15,5,0.17790418427364485,14,1.0954451150103321,5,14.5,35.0,18.0
M2N3G9619,R22-B24-L04,22,24,4,0.17790418427364485,14,1.0954451150103321,5,19.5,54.0,27.0
M2N3G1466,R22-B24-L03,22,24,3,0.17786332180379882,126,5.32049737408941,14,19.5,54.0,27.0
M2N4G7083,R12-B20-L07,12,20,7,0.177411136715889,104,3.8205354635273543,19,15.5,29.0,23.0
M16280406,R22-B24-L06,22,24,6,0.17696189443697866,24,2.309401076758503,4,19.5,54.0,27.0
M16280602,R12-B21-L03,12,21,3,0.1766604057216629,20,1.092906420717,9,14.5,29.0,24.0
M2N3SG071,R11-B23-L04,11,23,4,0.17664681026390489,152,5.715476066494082,19,16.5,25.0,26.0
M16280496,R18-B18-L03,18,18,3,0.17616982235572995,20,0.9816498172140428,11,15.5,44.0,21.0
M2N3G1373,R19-B19-L06,19,19,6,0.17602391851857555,366,11.084984297547601,37,15.5,45.0,22.0
M16280268,R11-B23-L02,11,23,2,0.17592785461336324,30,3.0,4,16.5,25.0,26.0
M16280303,R12-B20-L06,12,20,6,0.17592785461336324,30,3.0,4,15.5,29.0,23.0
